"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"Peptidoglycan recognition protein 1","O75594","PGLYRP1","Enzyme","HMDB0000161"
"Peptidoglycan recognition protein 3","Q96LB9","PGLYRP3","Enzyme","HMDB0000161"
"Peptidoglycan recognition protein 4","Q96LB8","PGLYRP4","Enzyme","HMDB0000161"
"Phosphoribosylformylglycinamidine synthase","O15067","PFAS","Enzyme","HMDB0000641"
"Phytanoyl-CoA dioxygenase, peroxisomal","O14832","PHYH","Unknown","HMDB0000254"
"Probable asparagine--tRNA ligase, mitochondrial","Q96I59","NARS2","Enzyme","HMDB0000168"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Q02809","PLOD1","Unknown","HMDB0000254"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","O00469","PLOD2","Unknown","HMDB0000254"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","O60568","PLOD3","Unknown","HMDB0000254"
"Prolyl 3-hydroxylase 1","Q32P28","P3H1","Unknown","HMDB0000254"
"Prolyl 3-hydroxylase 2","Q8IVL5","P3H2","Unknown","HMDB0000254"
"Prolyl 3-hydroxylase 3","Q8IVL6","P3H3","Unknown","HMDB0000254"
"Prolyl 4-hydroxylase subunit alpha-1","P13674","P4HA1","Enzyme","HMDB0000254"
"Prolyl 4-hydroxylase subunit alpha-2","O15460","P4HA2","Enzyme","HMDB0000254"
"Prolyl 4-hydroxylase subunit alpha-3","Q7Z4N8","P4HA3","Enzyme","HMDB0000254"
"Protein-glutamine gamma-glutamyltransferase 2","P21980","TGM2","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 4","P49221","TGM4","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 5","O43548","TGM5","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 6","O95932","TGM6","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase E","Q08188","TGM3","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase K","P22735","TGM1","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase Z","Q96PF1","TGM7","Unknown","HMDB0000641"
"Proto-oncogene tyrosine-protein kinase Src","P12931","SRC","Enzyme","HMDB0000094"
"Proton-coupled amino acid transporter 1","Q7Z2H8","SLC36A1","Transporter","HMDB0000161"
"Ribonuclease pancreatic","P07998","RNASE1","Enzyme","HMDB0000094"
"Selenocysteine lyase","Q96I15","SCLY","Enzyme","HMDB0000161"
"Serine--pyruvate aminotransferase","P21549","AGXT","Unknown","HMDB0000161"
"Sodium-coupled neutral amino acid transporter 3","Q99624","SLC38A3","Transporter","HMDB0000161	 HMDB0000168	 HMDB0000641"
"Solute carrier family 13 member 1","Q9BZW2","SLC13A1","Unknown","HMDB0000254"
"Solute carrier family 13 member 2","Q13183","SLC13A2","Unknown","HMDB0000254"
"Solute carrier family 13 member 3","Q8WWT9","SLC13A3","Unknown","HMDB0000254"
"Solute carrier organic anion transporter family member 2B1","O94956","SLCO2B1","Transporter","HMDB0000094"
"Succinate-semialdehyde dehydrogenase, mitochondrial","P51649","ALDH5A1","Unknown","HMDB0000254"
"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial","O14521","SDHD","Unknown","HMDB0000254"
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","P31040","SDHA","Unknown","HMDB0000254"
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial","P21912","SDHB","Unknown","HMDB0000254"
"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial","Q99643","SDHC","Unknown","HMDB0000254"
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial","Q9P2R7","SUCLA2","Unknown","HMDB0000254"
"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial","P53597","SUCLG1","Unknown","HMDB0000254"
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial","Q96I99","SUCLG2","Unknown","HMDB0000254"
"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","P55809","OXCT1","Enzyme","HMDB0000254"
"Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial","Q9BYC2","OXCT2","Enzyme","HMDB0000254"
"Transmembrane prolyl 4-hydroxylase","Q9NXG6","P4HTM","Enzyme","HMDB0000254"
"Trimethyllysine dioxygenase, mitochondrial","Q9NVH6","TMLHE","Unknown","HMDB0000254"
"Uridine-cytidine kinase 2","Q9BZX2","UCK2","Unknown","HMDB0000094"
"Glutamine--tRNA ligase","P47897","EPRS1","Enzyme","HMDB0000641"
