"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"Glycine N-acyltransferase-like protein 2","Q8WU03","GLYATL2","Enzyme","HMDB0000123"
"Glycine N-methyltransferase","Q14749","GNMT","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-1","P23415","GLRA1","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-2","P23416","GLRA2","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-3","O75311","GLRA3","Unknown","HMDB0000123"
"Glycine receptor subunit beta","P48167","GLRB","Unknown","HMDB0000123"
"Guanidinoacetate N-methyltransferase","Q14353","GAMT","Unknown","HMDB0000064"
"High affinity choline transporter 1","Q9GZV3","SLC5A7","Transporter","HMDB0000097"
"Kynurenine--oxoglutarate transaminase 3","Q6YP21","KYAT3","Enzyme","HMDB0000123"
"L-serine dehydratase/L-threonine deaminase","P20132","SDS","Enzyme","HMDB0000167"
"Monocarboxylate transporter 10","Q8TF71","SLC16A10","Transporter","HMDB0000123	 HMDB0000167"
"N-arachidonyl glycine receptor","Q14330","GPR18","Unknown","HMDB0000123"
"Neutral amino acid transporter A","P43007","SLC1A4","Unknown","HMDB0000167"
"Paired mesoderm homeobox protein 1","P54821","PRRX1","Unknown","HMDB0000064"
"Peroxisomal sarcosine oxidase","Q9P0Z9","PIPOX","Unknown","HMDB0000123"
"Phosphoethanolamine/phosphocholine phosphatase","Q8TCT1","PHOSPHO1","Unknown","HMDB0000097"
"Phospholipase D1","Q13393","PLD1","Unknown","HMDB0000097"
"Phospholipase D2","O14939","PLD2","Enzyme","HMDB0000097"
"Phospholipase D3","Q8IV08","PLD3","Enzyme","HMDB0000097"
"Phospholipase D4","Q96BZ4","PLD4","Enzyme","HMDB0000097"
"Phospholipase D6","Q8N2A8","PLD6","Enzyme","HMDB0000097"
"Probable threonine--tRNA ligase 2, cytoplasmic","A2RTX5","TARS3","Enzyme","HMDB0000167"
"Proton-coupled amino acid transporter 1","Q7Z2H8","SLC36A1","Transporter","HMDB0000123"
"S-methylmethionine--homocysteine S-methyltransferase BHMT2","Q9H2M3","BHMT2","Unknown","HMDB0000043	 HMDB0000092"
"Sarcosine dehydrogenase, mitochondrial","Q9UL12","SARDH","Unknown","HMDB0000123"
"Serine--pyruvate aminotransferase","P21549","AGXT","Unknown","HMDB0000123"
"Serine dehydratase-like","Q96GA7","SDSL","Enzyme","HMDB0000167"
"Serine hydroxymethyltransferase","Q5BJF5","SHMT2","Enzyme","HMDB0000123"
"Serine hydroxymethyltransferase, cytosolic","P34896","SHMT1","Enzyme","HMDB0000123"
"Serine hydroxymethyltransferase, mitochondrial","P34897","SHMT2","Enzyme","HMDB0000123"
"Sodium- and chloride-dependent betaine transporter","P48065","SLC6A12","Unknown","HMDB0000043"
"Sodium- and chloride-dependent creatine transporter 1","P48029","SLC6A8","Unknown","HMDB0000064"
"Sodium- and chloride-dependent glycine transporter 1","P48067","SLC6A9","Unknown","HMDB0000123"
"Sodium- and chloride-dependent glycine transporter 2","Q9Y345","SLC6A5","Unknown","HMDB0000123"
"Solute carrier family 22 member 1","O15245","SLC22A1","Transporter","HMDB0000097"
"Solute carrier family 22 member 5","O76082","SLC22A5","Transporter","HMDB0000064"
"Threonine--tRNA ligase, cytoplasmic","P26639","TARS1","Enzyme","HMDB0000167"
"Threonine--tRNA ligase, mitochondrial","Q9BW92","TARS2","Enzyme","HMDB0000167"
"Threonine synthase-like 1","Q8IYQ7","THNSL1","Enzyme","HMDB0000167"
"Trifunctional purine biosynthetic protein adenosine-3","P22102","GART","Enzyme","HMDB0000123"
"UDP-glucuronosyltransferase 1-1","P22309","UGT1A1","Enzyme","HMDB0000092"
"Vesicular inhibitory amino acid transporter","Q9H598","SLC32A1","Enzyme","HMDB0000123"
