"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"Asparagine--tRNA ligase, cytoplasmic","O43776","NARS1","Enzyme","HMDB0000168"
"Asparagine synthetase [glutamine-hydrolyzing]","P08243","ASNS","Enzyme","HMDB0000168	 HMDB0000641"
"Aspartate aminotransferase, cytoplasmic","P17174","GOT1","Enzyme","HMDB0000158"
"Aspartate aminotransferase, mitochondrial","P00505","GOT2","Enzyme","HMDB0000158"
"Basic fibroblast growth factor receptor 1","P11362","FGFR1","Enzyme","HMDB0000158"
"Beta-Ala-His dipeptidase","Q96KN2","CNDP1","Unknown","HMDB0000177"
"Bile acid-CoA:amino acid N-acyltransferase","Q14032","BAAT","Enzyme","HMDB0000123"
"Biotinidase","P43251","BTD","Enzyme","HMDB0000182"
"Branched-chain-amino-acid aminotransferase, cytosolic","P54687","BCAT1","Enzyme","HMDB0000883"
"Branched-chain-amino-acid aminotransferase, mitochondrial","O15382","BCAT2","Enzyme","HMDB0000883"
"CAD protein","P27708","CAD","Unknown","HMDB0000641"
"Carnosine synthase 1","A5YM72","CARNS1","Unknown","HMDB0000517	 HMDB0000177	 HMDB0000182"
"Catechol O-methyltransferase","P21964","COMT","Unknown","HMDB0000883"
"Coagulation factor XIII A chain","P00488","F13A1","Unknown","HMDB0000641"
"CTP synthase 1","P17812","CTPS1","Unknown","HMDB0000641"
"CTP synthase 2","Q9NRF8","CTPS2","Enzyme","HMDB0000641"
"Cysteine desulfurase, mitochondrial","Q9Y697","NFS1","Unknown","HMDB0000161"
"Cytosol aminopeptidase","P28838","LAP3","Unknown","HMDB0000123"
"D-amino-acid oxidase","P14920","DAO","Unknown","HMDB0000123"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","P39656","DDOST","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","P04843","RPN1","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","P04844","RPN2","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","P61803","DAD1","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","P46977","STT3A","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","Q8TCJ2","STT3B","Enzyme","HMDB0000168"
"Ecto-ADP-ribosyltransferase 3","Q13508","ART3","Unknown","HMDB0000517"
"Ecto-ADP-ribosyltransferase 4","Q93070","ART4","Unknown","HMDB0000517"
"Ecto-ADP-ribosyltransferase 5","Q96L15","ART5","Unknown","HMDB0000517"
"Epidermal growth factor receptor","P00533","EGFR","Enzyme","HMDB0000158"
"Glutamate [NMDA] receptor subunit 3B","O60391","GRIN3B","Unknown","HMDB0000123"
"Glutamate [NMDA] receptor subunit epsilon-1","Q12879","GRIN2A","Unknown","HMDB0000123"
"Glutamate [NMDA] receptor subunit epsilon-3","Q14957","GRIN2C","Unknown","HMDB0000123"
"Glutaminase kidney isoform, mitochondrial","O94925","GLS","Enzyme","HMDB0000641"
"Glutaminase liver isoform, mitochondrial","Q9UI32","GLS2","Enzyme","HMDB0000641"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","Q06210","GFPT1","Enzyme","HMDB0000641"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2","O94808","GFPT2","Enzyme","HMDB0000641"
"Glutamine--tRNA ligase","P47897","QARS1","Enzyme","HMDB0000641"
"Glutamine-dependent NAD(+) synthetase","Q6IA69","NADSYN1","Unknown","HMDB0000641"
"Glutamine synthetase","P15104","GLUL","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial","Q9H0R6","QRSL1","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","O75879","GATB","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial","O43716","GATC","Unknown","HMDB0000641"
"Glutathione synthetase","P48637","GSS","Enzyme","HMDB0000123"
"Glycine--tRNA ligase","P41250","GARS1","Enzyme","HMDB0000123"
"Glycine amidinotransferase, mitochondrial","P50440","GATM","Enzyme","HMDB0000517	 HMDB0000123"
"Glycine cleavage system H protein, mitochondrial","P23434","GCSH","Enzyme","HMDB0000123"
"Glycine dehydrogenase [decarboxylating], mitochondrial","P23378","GLDC","Enzyme","HMDB0000123"
"Glycine N-acyltransferase","Q6IB77","GLYAT","Enzyme","HMDB0000123"
"Glycine N-acyltransferase-like protein 1","Q969I3","GLYATL1","Enzyme","HMDB0000641	 HMDB0000123"
"Glycine N-acyltransferase-like protein 2","Q8WU03","GLYATL2","Enzyme","HMDB0000123"
"Glycine N-methyltransferase","Q14749","GNMT","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-1","P23415","GLRA1","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-2","P23416","GLRA2","Unknown","HMDB0000123"
"Glycine receptor subunit alpha-3","O75311","GLRA3","Unknown","HMDB0000123"
"Glycine receptor subunit beta","P48167","GLRB","Unknown","HMDB0000123"
"GMP synthase [glutamine-hydrolyzing]","P49915","GMPS","Unknown","HMDB0000641"
"GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1","P52961","ART1","Unknown","HMDB0000517"
"HemK methyltransferase family member 1","Q9Y5R4","HEMK1","Unknown","HMDB0000177"
"High affinity cationic amino acid transporter 1","P30825","SLC7A1","Enzyme","HMDB0000517"
"Histidine--tRNA ligase, cytoplasmic","P12081","HARS1","Enzyme","HMDB0000177"
"Histidine ammonia-lyase","P42357","HAL","Enzyme","HMDB0000177"
"Histidine decarboxylase","P19113","HDC","Enzyme","HMDB0000177"
"Histone-lysine N-methyltransferase EHMT1","Q9H9B1","EHMT1","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase EHMT2","Q96KQ7","EHMT2","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase EZH2","Q15910","EZH2","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase MLL","Q03164","KMT2A","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase MLL2","O14686","KMT2B","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase MLL3","Q8NEZ4","KMT2C","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase MLL4","Q9UMN6","KMT2B","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase NSD2","O96028","NSD2","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase NSD3","Q9BZ95","NSD3","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase SETD2","Q9BYW2","SETD2","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase SETD7","Q8WTS6","SETD7","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase SETDB1","Q15047","SETDB1","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific","Q96L73","NSD1","Unknown","HMDB0000182"
"Histone-lysine N-methyltransferase, H3 lysine-79 specific","Q8TEK3","DOT1L","Unknown","HMDB0000182"
"Iodotyrosine dehalogenase 1","Q6PHW0","IYD","Unknown","HMDB0000158"
"Isoaspartyl peptidase/L-asparaginase","Q7L266","ASRGL1","Enzyme","HMDB0000168"
"Kynureninase","Q16719","KYNU","Unknown","HMDB0000161"
"Kynurenine--oxoglutarate transaminase 1","Q16773","KYAT1","Enzyme","HMDB0000641"
"Kynurenine--oxoglutarate transaminase 3","Q6YP21","KYAT3","Enzyme","HMDB0000123"
"L-amino-acid oxidase","Q96RQ9","IL4I1","Unknown","HMDB0000158"
"L-serine dehydratase/L-threonine deaminase","P20132","SDS","Enzyme","HMDB0000167"
"Large neutral amino acids transporter small subunit 2","Q9UHI5","SLC7A8","Transporter","HMDB0000161	 HMDB0000641"
"Lysine--tRNA ligase","Q15046","KARS1","Enzyme","HMDB0000182"
"Lysine-specific demethylase 2A","Q9Y2K7","KDM2A","Enzyme","HMDB0000182"
"Lysine-specific demethylase 2B","Q8NHM5","KDM2B","Enzyme","HMDB0000182"
"Methyltransferase-like protein 2B","Q6P1Q9","METTL2B","Unknown","HMDB0000177"
"Methyltransferase-like protein 6","Q8TCB7","METTL6","Unknown","HMDB0000177"
"Molybdenum cofactor sulfurase","Q96EN8","MOCOS","Enzyme","HMDB0000161"
"Monocarboxylate transporter 10","Q8TF71","SLC16A10","Transporter","HMDB0000161	 HMDB0000641	 HMDB0000123	 HMDB0000177	 HMDB0000167	 HMDB0000158	 HMDB0000883"
"Monocarboxylate transporter 8","P36021","SLC16A2","Transporter","HMDB0000158"
"N-acetylmuramoyl-L-alanine amidase","Q96PD5","PGLYRP2","Unknown","HMDB0000161"
"N-arachidonyl glycine receptor","Q14330","GPR18","Unknown","HMDB0000123"
"NAD-dependent protein deacetylase sirtuin-6","Q8N6T7","SIRT6","Unknown","HMDB0000517"
"Neutral amino acid transporter A","P43007","SLC1A4","Unknown","HMDB0000161	 HMDB0000167"
"Neutral amino acid transporter B(0)","Q15758","SLC1A5","Transporter","HMDB0000168	 HMDB0000641"
"Nitric oxide synthase, brain","P29475","NOS1","Unknown","HMDB0000517"
"Nitric oxide synthase, endothelial","P29474","NOS3","Unknown","HMDB0000517"
"Nitric oxide synthase, inducible","P35228","NOS2","Unknown","HMDB0000517"
"NOS1 mutant","B3VK56","NOS1","Enzyme","HMDB0000517"
"Peptidoglycan recognition protein 1","O75594","PGLYRP1","Enzyme","HMDB0000161"
"Peptidoglycan recognition protein 3","Q96LB9","PGLYRP3","Enzyme","HMDB0000161"
"Peptidoglycan recognition protein 4","Q96LB8","PGLYRP4","Enzyme","HMDB0000161"
"Peroxisomal sarcosine oxidase","Q9P0Z9","PIPOX","Unknown","HMDB0000123"
"Phenylalanine-4-hydroxylase","P00439","PAH","Enzyme","HMDB0000158"
"Phosphoribosylformylglycinamidine synthase","O15067","PFAS","Enzyme","HMDB0000641"
"PR domain zinc finger protein 2","Q13029","PRDM2","Unknown","HMDB0000182"
"Probable arginine--tRNA ligase, mitochondrial","Q5T160","RARS2","Enzyme","HMDB0000517"
"Probable asparagine--tRNA ligase, mitochondrial","Q96I59","NARS2","Enzyme","HMDB0000168"
"Probable histidine--tRNA ligase, mitochondrial","P49590","HARS2","Enzyme","HMDB0000177"
"Probable threonine--tRNA ligase 2, cytoplasmic","A2RTX5","TARS3","Enzyme","HMDB0000167"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Q02809","PLOD1","Unknown","HMDB0000182"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","O00469","PLOD2","Unknown","HMDB0000182"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","O60568","PLOD3","Unknown","HMDB0000182"
"Propionyl-CoA carboxylase beta chain, mitochondrial","P05166","PCCB","Enzyme","HMDB0000883"
"Protein-arginine deiminase type-3","Q9ULW8","PADI3","Unknown","HMDB0000517"
"Protein-arginine deiminase type-4","Q9UM07","PADI4","Unknown","HMDB0000517"
"Protein-glutamine gamma-glutamyltransferase 2","P21980","TGM2","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 4","P49221","TGM4","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 5","O43548","TGM5","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase 6","O95932","TGM6","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase E","Q08188","TGM3","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase K","P22735","TGM1","Unknown","HMDB0000641"
"Protein-glutamine gamma-glutamyltransferase Z","Q96PF1","TGM7","Unknown","HMDB0000641"
"Protein arginine N-methyltransferase 3","O60678","PRMT3","Unknown","HMDB0000177"
"Proton-coupled amino acid transporter 1","Q7Z2H8","SLC36A1","Transporter","HMDB0000161	 HMDB0000123"
"Sarcosine dehydrogenase, mitochondrial","Q9UL12","SARDH","Unknown","HMDB0000123"
"Selenocysteine lyase","Q96I15","SCLY","Enzyme","HMDB0000161"
"Serine--pyruvate aminotransferase","P21549","AGXT","Unknown","HMDB0000161	 HMDB0000123"
"Serine dehydratase-like","Q96GA7","SDSL","Enzyme","HMDB0000167"
"Serine hydroxymethyltransferase","Q5BJF5","SHMT2","Enzyme","HMDB0000123"
"Serine hydroxymethyltransferase, cytosolic","P34896","SHMT1","Enzyme","HMDB0000123"
"Serine hydroxymethyltransferase, mitochondrial","P34897","SHMT2","Enzyme","HMDB0000123"
"Sodium- and chloride-dependent glycine transporter 1","P48067","SLC6A9","Unknown","HMDB0000123"
"Sodium- and chloride-dependent glycine transporter 2","Q9Y345","SLC6A5","Unknown","HMDB0000123"
"Sodium-coupled neutral amino acid transporter 3","Q99624","SLC38A3","Transporter","HMDB0000161	 HMDB0000168	 HMDB0000641	 HMDB0000177"
"Threonine--tRNA ligase, cytoplasmic","P26639","TARS1","Enzyme","HMDB0000167"
"Threonine--tRNA ligase, mitochondrial","Q9BW92","TARS2","Enzyme","HMDB0000167"
"Threonine synthase-like 1","Q8IYQ7","THNSL1","Enzyme","HMDB0000167"
"Thyroid peroxidase","P07202","TPO","Unknown","HMDB0000158"
"Trifunctional purine biosynthetic protein adenosine-3","P22102","GART","Enzyme","HMDB0000123"
"Tubulin--tyrosine ligase","Q8NG68","TTL","Unknown","HMDB0000158"
"Tyrosinase","P14679","TYR","Unknown","HMDB0000158"
"Tyrosine--tRNA ligase, cytoplasmic","P54577","YARS1","Enzyme","HMDB0000158"
"Tyrosine--tRNA ligase, mitochondrial","Q9Y2Z4","YARS2","Enzyme","HMDB0000158"
"Tyrosine 3-monooxygenase","P07101","TH","Enzyme","HMDB0000158"
"Tyrosine aminotransferase","P17735","TAT","Enzyme","HMDB0000158"
"Uncharacterized methyltransferase WBSCR22","O43709","BUD23","Unknown","HMDB0000177"
"Valine--tRNA ligase","P26640","VARS1","Enzyme","HMDB0000883"
"Valine--tRNA ligase, mitochondrial","Q5ST30","VARS2","Enzyme","HMDB0000883"
"Vesicular inhibitory amino acid transporter","Q9H598","SLC32A1","Enzyme","HMDB0000123"
"Y+L amino acid transporter 1","Q9UM01","SLC7A7","Unknown","HMDB0000517"
"Y+L amino acid transporter 2","Q92536","SLC7A6","Unknown","HMDB0000517"
"Glutamine--tRNA ligase","P47897","EPRS1","Enzyme","HMDB0000641"
"Histone-lysine N-methyltransferase MLL2","O14686","KMT2D","Unknown","HMDB0000182"
